Constructs,Prompt,Com/Noncom,Study,Author,Year,
Benefits,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] acknowledged that compliance with the requirements of the information security policies would be favourable to [subject].,com,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Benefits,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""benefit"": [Subject] acknowledged that compliance with the requirements of the information security policies would create advantages for [subject].",com,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Benefits,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] acknowledged that non-compliance with the requirements of the information security policies would benefit [subject].,noncom,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Benefits,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""benefit"": [Subject] acknowledged that compliance with the requirements of the information security policies would provide gains for [subject].",noncom,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is committed to promoting organization’s information security policies.",com,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is willing to invest energy and effort in making organization’s information security a success.",com,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] really cares about the fate of the company.",com,Do I really belong? Impact of employment status on information security policy compliance,"Sharma, S.; Warkentin, M",2019,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] said the organization is the best of all possible organizations for which to work.",com,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] doesn't have loyalty to the organization.",noncom,Motivating information security policy compliance: The critical role of supervisor- subordinate guanxi and organizational commitment,Liu et al.,2020,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is proud to tell others that [subject] is working for the organization.",noncom,Motivating information security policy compliance: The critical role of supervisor- subordinate guanxi and organizational commitment,Liu et al.,2020,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] does not feel as if the company's problems are [subject's] own problems.",noncom,Do I really belong? Impact of employment status on information security policy compliance,"Sharma, S.; Warkentin, M",2019,
Commitment,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] said the organization is the worst of all possible organizations for which to work.",noncom,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Control,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"":It is within [subject's] control to protect [subject] from information security violations.",com,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Control,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"": Following information security policies is entirely within [subject's] control.",com,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Control,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"":[Subject] said the primary responsibility for protecting the organization’s information belongs to others and not [subject].",noncom,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Control,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"": [Subject] has the resource and the knowledge and the ability to commit information security violations.",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said the organization disciplines employees who break information security rules.",com,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said the organization terminates employees who repeatedly break information security rules",com,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said  There is not much overhead associated with the adoption of information security policy.",com,An integrative model of information security policy compliance with psychological contract: Examining a bilateral perspective.,"Han, J.; Kim, Y.J",2017,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [Subject] said  there are too many additional costs to adopt information security policies.",noncom,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [Subject] said it takes a considerable amount of time and effort to perform tasks in accordance with information security policies..",noncom,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Costs,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said Enforcing information security policy may cause distrustful relationship among employees.",noncom,An integrative model of information security policy compliance with psychological contract: Examining a bilateral perspective.,"Han, J.; Kim, Y.J",2017,
Goal,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] wants to comply with the organization’s security procedures.",com,Toward a unified model of information security policy compliance.,"Moody, G. D., Siponen, M., & Pahnila, S.",2018,
Goal,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": The goal to comply with the organization’s security procedures can be defined as something that is very important to [subject].",com,Toward a unified model of information security policy compliance.,"Moody, G. D., Siponen, M., & Pahnila, S.",2018,
Goal,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] said I want to commit information security misuse in my organization. ",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Goal,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] said My desire for committing information security misuse in my organization can be described as very strong.",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Group norms,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they should use security technologies.,com,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Group norms,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they should take measures to protect information,com,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Group norms,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they don't have to obey organization security rules.,noncom,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Group norms,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think computer security is not important.,noncom,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to comply with the requirements of the ISP of my organization in the future.",com,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to protect information and technology resources of my organization.",com,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said Regardless of what happens and which situations arise, I will adhere to the information security policy that exists at my organization.",com,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to commit information security resource misuse in my organization. ",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I will try to commit information security resource misuse in my organization.",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Intent,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said Whenever is convenient, I will evade the information security policy that exists at my organization.",noncom,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject] is aware of the organization’s information security policy violations and consequences ",com,An examination of factors that influence the number of information security policy violations in Qatari organizations,Al-Mukahal and Alshare,2015,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said  My organization has detailed guidelines that describe acceptable use of computer resources.",com,An integrative model of information security policy compliance with psychological contract: Examining a bilateral perspective.,"Han, J.; Kim, Y.J",2017,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said   My organization has a formal policy that forbids employees from accessing information systems that they are not authorized to use.",com,An integrative model of information security policy compliance with psychological contract: Examining a bilateral perspective.,"Han, J.; Kim, Y.J",2017,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  does not know what laws and regulations are related to [subject's] role/task at work.",noncom,The effect of compliance knowledge and compliance support systems on information security compliance behavior,Kim and Kim,2017,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  does not understand compliance processes that are related to [subject's] role/task at work.",noncom,The effect of compliance knowledge and compliance support systems on information security compliance behavior,Kim and Kim,2017,
Knowledge,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said I am not aware of our firm’s information security policy violations and consequences ",noncom,An examination of factors that influence the number of information security policy violations in Qatari organizations,Al-Mukahal and Alshare,2015,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  tries to follow the rule.",com,A model of emotion and computer abuse,Kim et al.,2016,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  respects authority.",com,A model of emotion and computer abuse,Kim et al.,2016,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization compete fairly with its competitors",com,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization treats employees fairly",com,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  doesn't care about rules.",noncom,A model of emotion and computer abuse,Kim et al.,2016,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] often turns back on others.",noncom,A model of emotion and computer abuse,Kim et al.,2016,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization does not compete fairly with its competitors",noncom,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Moral,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization does not treat employees fairly",noncom,Do employees in a “good” company comply better with information security policy? A corporate social responsibility perspective.,"Kim, H.L.; Han, J",2018,
Motivation,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] complies with security policies to attain rewards.",com,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,
Motivation,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] said I comply with the information security requirements because I want to ensure the information security of my employer. ",com,Why deterrence is not enough: The role of endogenous motivations on employees’ information security behavior.,"Franz, J.; Haeussinger, F.",2014,
Motivation,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] said I comply with the information security requirements so that my boss does not penalize me. ",com,Why deterrence is not enough: The role of endogenous motivations on employees’ information security behavior.,"Franz, J.; Haeussinger, F.",2014,
Motivation,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] may evades security policies to attain personal gains.",noncom,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,
Norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": In [subject's] department, it is likely that most employees follow the information security policies.",com,Examining the impact of deterrence factors and norms on resistance to information systems security,Merhi and Ahluwalia,2019,
Norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people who are important to [subject] think [subject] should adhere to the information security policy at the organization. ",com,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Norms,Most people I respect would adhere to the information security policy at my organization if they were in my situation. ,com,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": In [subject's] department, most employees rarely comply with the information security policies.",noncom,Examining the impact of deterrence factors and norms on resistance to information systems security,Merhi and Ahluwalia,2019,
Norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people at the organization who are like [subject] rarely follow information security policy.",noncom,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people [subject] respects would not adhere to the information security policy at the organization if they were in [subject's] situation. ",noncom,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Response Efficacy,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said using security technologies is effective for protecting confidential information.,com,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Response Efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Keeping security procedures is effective for protecting data on my computer
from others.",com,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Response Efficacy,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Taking preventive measures is not effective for protecting [subject's] personal information.,noncom,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Response Efficacy,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Taking preventive measures is not effective for protecting data on my computer from being damaged.,noncom,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  [Subject] has the necessary competencies to comply to the organization's information security policies.",com,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  It is easy for [subject] to enable security features on [subject's] work computer.",com,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"": [Subject] is able to use cybersecurity protection software without much effort.",com,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  [Subject] does not have the necessary competencies to comply to the organization's information security policies.",noncom,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  It is not easy for [subject] to enable security features on [subject's] work computer.",noncom,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,
Self-efficacy,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"": [Subject] has troubles with using cybersecurity protection software.",noncom,Fear appeals and information security behaviors: An empirical study,"Warkentin, M.; Johnston, A.C",2010,
Social,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] actively involves in activities related to the organization’s growth.",com,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Social,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] said My co-workers peak up and encourage others in the organization to get involved in information security policies that affect the organization.",com,The role of extra-role behaviors and social controls in information,Hsu et al.,2015,
Social,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] rarely involves in activities related to the organization’s growth.",noncom,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Social,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] said my co-workers do not help each other in learning about the security policies.",noncom,The role of extra-role behaviors and social controls in information,Hsu et al.,2015,
Subjective norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said My supervisors expect that I should adhere to my organization's information security policies.",com,The role of norms in information security policy compliance,Wiafe et al.,2020,
Subjective norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People whose opinions I value in my organization would think that I should not commit information security resource misuse. ",com,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Subjective norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People who are important to me will not be disappointed if I do not follow my organization's information security policies.",noncom,The role of norms in information security policy compliance,Wiafe et al.,2020,
Subjective norms,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People who are important to me in my organization do not think much about whether I should or should not commit information security resource misuse. ",noncom,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,
Threat severity,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said If my password and personal information were compromised, the consequences would be severe.",com,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,
Threat severity,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Having someone else figure out my password poses a serious threat to my account.,com,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,
Threat severity,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said I will be fine if my account password is hacked.,noncom,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,
Threat severity,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said If my password and personal information were compromised, the consequences would be minor.",noncom,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,
Vulnerability,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said I know that my institution could be vulnerable to security breaches if I don’t adhere to its’ Information Security Policies",com,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
Vulnerability,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said I may fall victim to a malicious attack if I fail to comply with my institution’s Information Security Policies",com,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
Vulnerability,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said in terms of information security risks at work, my computing resources are not vulnerable",noncom,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
Vulnerability," Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said  important information or computing resources would not get damaged due to my negligence towards Information Security Policies",noncom,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
