Constructs,Flag,Prompt,
Benefits,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""benefit"": [Subject] acknowledged that compliance with the requirements of the information security policies would create advantages for [subject].",
Benefits,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] acknowledged that non-compliance with the requirements of the information security policies would benefit [subject].,
Benefits,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""benefit"": [Subject] acknowledged that compliance with the requirements of the information security policies would provide gains for [subject].",
Commitment,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is committed to promoting organization’s information security policies.",
Commitment,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is willing to invest energy and effort in making organization’s information security a success.",
Commitment,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] really cares about the fate of the company.",
Commitment,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] said the organization is the best of all possible organizations for which to work.",
Commitment,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] doesn't have loyalty to the organization.",
Commitment,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] is proud to tell others that [subject] is working for the organization.",
Commitment,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] does not feel as if the company's problems are [subject's] own problems.",
Commitment,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""commit"": [Subject] said the organization is the worst of all possible organizations for which to work.",
Control,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"":It is within [subject's] control to protect [subject] from information security violations.",
Control,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"": Following information security policies is entirely within [subject's] control.",
Control,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"":[Subject] said the primary responsibility for protecting the organization’s information belongs to others and not [subject].",
Control,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""control"": [Subject] has the resource and the knowledge and the ability to commit information security violations.",
Costs,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said the organization disciplines employees who break information security rules.",
Costs,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said the organization terminates employees who repeatedly break information security rules",
Costs,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said  There is not much overhead associated with the adoption of information security policy.",
Costs,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [Subject] said  there are too many additional costs to adopt information security policies.",
Costs,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [Subject] said it takes a considerable amount of time and effort to perform tasks in accordance with information security policies..",
Costs,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""cost"": [subject] said Enforcing information security policy may cause distrustful relationship among employees.",
Goal,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] wants to comply with the organization’s security procedures.",
Goal,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": The goal to comply with the organization’s security procedures can be defined as something that is very important to [subject].",
Goal,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] said I want to commit information security misuse in my organization. ",
Goal,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""goal"": [Subject] said My desire for committing information security misuse in my organization can be described as very strong.",
Group norms,com,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they should use security technologies.,
Group norms,com,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they should take measures to protect information,
Group norms,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think they don't have to obey organization security rules.,
Group norms,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it : Most people in the organization think computer security is not important.,
Intent,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to comply with the requirements of the ISP of my organization in the future.",
Intent,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to protect information and technology resources of my organization.",
Intent,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said Regardless of what happens and which situations arise, I will adhere to the information security policy that exists at my organization.",
Intent,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I intend to commit information security resource misuse in my organization. ",
Intent,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said I will try to commit information security resource misuse in my organization.",
Intent,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""intention"": [subject] said Whenever is convenient, I will evade the information security policy that exists at my organization.",
Knowledge,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject] is aware of the organization’s information security policy violations and consequences ",
Knowledge,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said  My organization has detailed guidelines that describe acceptable use of computer resources.",
Knowledge,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said   My organization has a formal policy that forbids employees from accessing information systems that they are not authorized to use.",
Knowledge,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  does not know what laws and regulations are related to [subject's] role/task at work.",
Knowledge,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  does not understand compliance processes that are related to [subject's] role/task at work.",
Knowledge,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""knowledge"": [subject]  said I am not aware of our firm’s information security policy violations and consequences ",
Moral,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  tries to follow the rule.",
Moral,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  respects authority.",
Moral,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization compete fairly with its competitors",
Moral,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization treats employees fairly",
Moral,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  doesn't care about rules.",
Moral,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] often turns back on others.",
Moral,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization does not compete fairly with its competitors",
Moral,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject]  said My organization does not treat employees fairly",
Motivation,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] complies with security policies to attain rewards.",
Motivation,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] said I comply with the information security requirements because I want to ensure the information security of my employer. ",
Motivation,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] said I comply with the information security requirements so that my boss does not penalize me. ",
Motivation,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""moral"": [subject] may evades security policies to attain personal gains.",
Norms,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": In [subject's] department, it is likely that most employees follow the information security policies.",
Norms,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people who are important to [subject] think [subject] should adhere to the information security policy at the organization. ",
Norms,com,Most people I respect would adhere to the information security policy at my organization if they were in my situation. ,
Norms,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": In [subject's] department, most employees rarely comply with the information security policies.",
Norms,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people at the organization who are like [subject] rarely follow information security policy.",
Norms,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": Most people [subject] respects would not adhere to the information security policy at the organization if they were in [subject's] situation. ",
Response Efficacy,com,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said using security technologies is effective for protecting confidential information.,
Response Efficacy,com,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Keeping security procedures is effective for protecting data on my computer
from others.",
Response Efficacy,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Taking preventive measures is not effective for protecting [subject's] personal information.,
Response Efficacy,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Taking preventive measures is not effective for protecting data on my computer from being damaged.,
Self-efficacy,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  [Subject] has the necessary competencies to comply to the organization's information security policies.",
Self-efficacy,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  It is easy for [subject] to enable security features on [subject's] work computer.",
Self-efficacy,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"": [Subject] is able to use cybersecurity protection software without much effort.",
Self-efficacy,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  [Subject] does not have the necessary competencies to comply to the organization's information security policies.",
Self-efficacy,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"":  It is not easy for [subject] to enable security features on [subject's] work computer.",
Self-efficacy,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""self-efficacy"": [Subject] has troubles with using cybersecurity protection software.",
Social,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] actively involves in activities related to the organization’s growth.",
Social,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] said My co-workers peak up and encourage others in the organization to get involved in information security policies that affect the organization.",
Social,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] rarely involves in activities related to the organization’s growth.",
Social,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""social"": [Subject] said my co-workers do not help each other in learning about the security policies.",
Subjective norms,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said My supervisors expect that I should adhere to my organization's information security policies.",
Subjective norms,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People whose opinions I value in my organization would think that I should not commit information security resource misuse. ",
Subjective norms,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People who are important to me will not be disappointed if I do not follow my organization's information security policies.",
Subjective norms,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""norm"": [Subject] said People who are important to me in my organization do not think much about whether I should or should not commit information security resource misuse. ",
Threat severity,com,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said If my password and personal information were compromised, the consequences would be severe.",
Threat severity,com,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said Having someone else figure out my password poses a serious threat to my account.,
Threat severity,noncom,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said I will be fine if my account password is hacked.,
Threat severity,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] said If my password and personal information were compromised, the consequences would be minor.",
Vulnerability,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said I know that my institution could be vulnerable to security breaches if I don’t adhere to its’ Information Security Policies",
Vulnerability,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said I may fall victim to a malicious attack if I fail to comply with my institution’s Information Security Policies",
Vulnerability,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said in terms of information security risks at work, my computing resources are not vulnerable",
Vulnerability,noncom," Give a one-sentence example illustrating the following statement without repeating any part of it nor ""vulnerable"": [Subject] said  important information or computing resources would not get damaged due to my negligence towards Information Security Policies",
